Company,Year,COVID,ROA,ROE,Revenue,Total Assets,PAT,Equity
SJS,2015,0,0.0393,0.1131,855452,5734361,225105,1990459
SJS,2016,0,0.0300,0.0847,514269,5969111,178993,2112258
SJS,2017,0,0.0209,0.0577,-20166,6284643,131256,2275437
SJS,2018,0,0.0170,0.0487,467073,6451992,109587,2251956
SJS,2019,0,0.0158,0.0469,695959,6652903,104849,2235291
SJS,2020,1,0.0043,0.0142,1135902,7047540,30565,2153376
SJS,2021,1,0.0093,0.0295,747036,6946047,64778,2198791
SJS,2022,0,0.0177,0.0465,379811,6779528,119686,2575443
SJS,2023,0,0.0248,0.0671,416024,7473979,185337,2761587
SJS,2024,0,0.0342,0.0897,646015,7844263,268508,2993878
SJS,2025,0,0.0459,0.1049,750726,7880010,361321,3445351
ASM,2015,0,0.0219,0.0352,880616,3908502,85631,2436158
ASM,2016,0,0.0355,0.0655,1406490,4880522,173117,2644574
ASM,2017,0,0.0310,0.0613,2100781,5610793,174212,2841505
ASM,2018,0,0.0867,0.1810,8887128,11975460,1038544,5737393
ASM,2019,0,0.0408,0.1011,14223773,15596312,636925,6301872
ASM,2020,1,0.0270,0.0692,12524614,17604595,475464,6872109
ASM,2021,1,0.0330,0.0793,11397926,18169114,600437,7576340
ASM,2022,0,0.0329,0.0802,13749222,19086345,628390,7839818
ASM,2023,0,0.0096,0.0249,11973154,20307453,195034,7826282
ASM,2024,0,0.0079,0.0224,12013118,22856056,180854,8087735
ASM,2025,0,0.0016,0.0046,11317469,23476528,37712,8213442
NDN,2015,0,0.1176,0.1450,242135,499712,58776,405457
NDN,2016,0,0.0660,0.0858,281812,663155,43789,510317
NDN,2017,0,0.1129,0.1562,228189,775451,87539,560251
NDN,2018,0,0.0517,0.1539,171375,1701144,88023,572089
NDN,2019,0,0.0313,0.1021,41620,2186561,68446,670539
NDN,2020,1,0.1493,0.3337,874068,2204327,329174,986558
NDN,2021,1,0.1534,0.2367,509429,1641851,251788,1063908
NDN,2022,0,-0.0955,-0.1594,3424,1497218,-142961,896654
NDN,2023,0,0.1646,0.2072,435757,1325203,218146,1052745
NDN,2024,0,0.0283,0.0332,55617,1277801,36176,1088771
NDN,2025,0,0.1307,0.1374,26564,1300950,170082,1237886
NTL,2015,0,0.0735,0.1053,473237,1277582,93953,892604
NTL,2016,0,0.0543,0.0778,433359,1376714,74756,961381
NTL,2017,0,0.0581,0.0957,301646,1597602,92760,968998
NTL,2018,0,0.0602,0.1018,714124,1680048,101166,993984
NTL,2019,0,0.1440,0.2189,835098,1623395,233809,1068195
NTL,2020,1,0.1632,0.2537,652853,1809935,295405,1164263
NTL,2021,1,0.1268,0.1936,576724,1876989,237956,1229067
NTL,2022,0,0.0632,0.0847,391277,1685280,106500,1257920
NTL,2023,0,0.1789,0.2491,914024,2035335,364190,1462180
NTL,2024,0,0.2847,0.3527,1441314,2178125,620095,1757931
NTL,2025,0,0.0092,0.0108,17517,1884355,17428,1609980
HPX,2015,0,0.0352,0.1465,1035358,4423844,155737,1062800
HPX,2016,0,0.0339,0.1299,1807840,4899117,166033,1278292
HPX,2017,0,0.0494,0.1557,1080467,6576023,325183,2088693
HPX,2018,0,0.0611,0.1768,2019624,7398332,452274,2558558
HPX,2019,0,0.0654,0.1493,3431937,6829641,446702,2992800
HPX,2020,1,0.0125,0.0255,1329628,7378527,92293,3620943
HPX,2021,1,0.0261,0.0709,1417006,9578592,249919,3526748
HPX,2022,0,-0.0064,-0.0185,1210372,9467030,-60410,3258048
HPX,2023,0,0.0153,0.0355,1680274,8296949,127349,3587767
HPX,2024,0,0.0075,0.0158,1615672,7701602,57447,3633974
HPX,2025,0,0.0143,0.0341,1142739,8475818,121335,3553441
AGG,2015,0,,,,,,
AGG,2016,0,0.0007,0.0381,602637,2267344,1547,40646
AGG,2017,0,0.0239,0.3384,989145,2451628,58562,173046
AGG,2018,0,0.1277,0.3662,1125412,2291060,292641,799106
AGG,2019,0,0.0605,0.2246,384627,5398913,326497,1453450
AGG,2020,1,0.0425,0.1787,1753643,9753392,414713,2320738
AGG,2021,1,0.0334,0.1567,1808365,12564828,419375,2675589
AGG,2022,0,0.0017,0.0070,6188635,11098528,18966,2725619
AGG,2023,0,0.0189,0.0610,3891047,9293398,175358,2876121
AGG,2024,0,0.0423,0.0948,1913398,7035484,297501,3137089
AGG,2025,0,0.0692,0.1079,829089,5476945,379195,3514998
VPH,2015,0,0.0649,0.1822,259140,1672577,108616,596040
VPH,2016,0,0.0462,0.1240,429249,1748113,80846,652232
VPH,2017,0,0.0989,0.1992,1382042,1928523,190686,957457
VPH,2018,0,0.0706,0.1394,706219,2074245,146515,1051384
VPH,2019,0,0.0168,0.0295,162544,1781620,29898,1015048
VPH,2020,1,0.0065,0.0131,268627,2090253,13644,1039093
VPH,2021,1,0.0406,0.0779,290558,2051055,83208,1068476
VPH,2022,0,0.0088,0.0192,161610,2242856,19666,1021923
VPH,2023,0,-0.0004,-0.0008,73143,2366331,-852,1020416
VPH,2024,0,0.0670,0.1185,47404,1931877,129522,1092591
VPH,2025,0,-0.0105,-0.0200,134648,1956538,-20579,1027051
SIP,2015,0,0.0188,0.0876,977817,4090322,77063,879599
SIP,2016,0,0.0283,0.1485,1806687,5111198,144538,973494
SIP,2017,0,0.0289,0.1754,2569512,6485783,187440,1068535
SIP,2018,0,0.0204,0.1603,3239457,10738929,218576,1363929
SIP,2019,0,0.0442,0.3136,4339741,13465969,594962,1897367
